BASE_DE,BASE_YEAR,BASE_MT,BASE_DAY,CTPRVN_CD,CTPRVN_NM,KLEA_VIEWNG_NMPR_CO,KBO_VIEWNG_NMPR_CO,KBL_VIEWNG_NMPR_CO,WKBL_VIEWNG_NMPR_CO,KOVO_VIEWNG_NMPR_CO,SPORTS_VIEWNG_NMPR_CO,KLEA_MATCH_CO,KBO_MATCH_CO,KBL_MATCH_CO,WKBL_MATCH_CO,KOVO_MATCH_CO,SPORTS_MATCH_CO,COLCT_DE,UPDT_DE
20230305,2023,3,5,45,전북,19660.0,0.0,0.0,0.0,0.0,19660.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230305,2023,3,5,46,전남,1975.0,0.0,0.0,0.0,0.0,1975.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230307,2023,3,7,42,강원,0.0,0.0,1212.0,0.0,0.0,1212.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230308,2023,3,8,11,서울,0.0,0.0,2419.0,0.0,0.0,2419.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230309,2023,3,9,27,대구,0.0,0.0,1008.0,0.0,0.0,1008.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230309,2023,3,9,45,전북,0.0,0.0,2149.0,0.0,0.0,2149.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230310,2023,3,10,11,서울,0.0,0.0,1385.0,0.0,0.0,1385.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230310,2023,3,10,31,울산,0.0,0.0,1047.0,0.0,0.0,1047.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230311,2023,3,11,11,서울,1350.0,0.0,0.0,0.0,0.0,1350.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230311,2023,3,11,27,대구,0.0,0.0,2066.0,0.0,0.0,2066.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230311,2023,3,11,30,대전,8661.0,0.0,0.0,0.0,0.0,8661.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230311,2023,3,11,41,경기,11105.0,0.0,2732.0,0.0,0.0,13837.0,2.0,0.0,1.0,0.0,0.0,3.0,20250721,20250721
20230311,2023,3,11,42,강원,4058.0,0.0,0.0,0.0,0.0,4058.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230311,2023,3,11,43,충북,3043.0,0.0,0.0,0.0,0.0,3043.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230311,2023,3,11,45,전북,0.0,0.0,2905.0,0.0,0.0,2905.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230312,2023,3,12,11,서울,20549.0,0.0,5213.0,0.0,0.0,25762.0,1.0,0.0,1.0,0.0,0.0,2.0,20250721,20250721
20230312,2023,3,12,28,인천,6007.0,0.0,0.0,0.0,0.0,6007.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230312,2023,3,12,41,경기,2073.0,0.0,0.0,0.0,0.0,2073.0,2.0,0.0,0.0,0.0,0.0,2.0,20250721,20250721
20230312,2023,3,12,42,강원,0.0,0.0,1506.0,0.0,0.0,1506.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230312,2023,3,12,44,충남,675.0,0.0,0.0,0.0,0.0,675.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230312,2023,3,12,45,전북,8051.0,0.0,2562.0,0.0,0.0,10613.0,1.0,0.0,1.0,0.0,0.0,2.0,20250721,20250721
20230313,2023,3,13,41,경기,0.0,0.0,1114.0,0.0,0.0,1114.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230314,2023,3,14,31,울산,0.0,0.0,706.0,0.0,0.0,706.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230315,2023,3,15,41,경기,0.0,0.0,1179.0,0.0,0.0,1179.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230316,2023,3,16,11,서울,0.0,0.0,835.0,0.0,0.0,835.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230316,2023,3,16,41,경기,0.0,0.0,2268.0,0.0,0.0,2268.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230317,2023,3,17,27,대구,0.0,0.0,2101.0,0.0,0.0,2101.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230317,2023,3,17,31,울산,0.0,0.0,1222.0,0.0,0.0,1222.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230318,2023,3,18,11,서울,0.0,0.0,2362.0,0.0,0.0,2362.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230318,2023,3,18,29,광주,2812.0,0.0,0.0,0.0,0.0,2812.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
