MATCH_SEQ_NO,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
428,20230729,SSG,한화,문학,21344.0
429,20230729,NC,KT,창원,8309.0
430,20230729,두산,LG,잠실,21126.0
431,20230729,KIA,롯데,광주,14754.0
432,20230729,키움,삼성,고척,11851.0
433,20230730,SSG,한화,문학,18158.0
434,20230730,NC,KT,창원,6181.0
435,20230730,두산,LG,잠실,19500.0
436,20230730,KIA,롯데,광주,11796.0
437,20230730,키움,삼성,고척,11235.0
438,20230801,삼성,KIA,포항,6912.0
439,20230801,롯데,NC,사직,13326.0
440,20230801,한화,두산,한밭,10225.0
441,20230801,KT,SSG,수원,7831.0
442,20230801,LG,키움,잠실,12159.0
443,20230802,삼성,KIA,포항,6477.0
444,20230802,롯데,NC,사직,11444.0
445,20230802,한화,두산,한밭,9011.0
446,20230802,KT,SSG,수원,7780.0
447,20230802,LG,키움,잠실,11740.0
448,20230803,삼성,KIA,포항,6357.0
449,20230803,롯데,NC,사직,10162.0
450,20230803,한화,두산,한밭,9024.0
451,20230803,KT,SSG,수원,7521.0
452,20230803,LG,키움,잠실,12179.0
453,20230804,KIA,한화,광주,11495.0
454,20230804,두산,KT,잠실,6358.0
455,20230804,삼성,LG,대구,10856.0
456,20230804,롯데,SSG,사직,8545.0
457,20230804,NC,키움,창원,5107.0
458,20230805,KIA,한화,광주,13487.0
459,20230805,두산,KT,잠실,8847.0
460,20230805,삼성,LG,대구,15879.0
461,20230805,롯데,SSG,사직,10670.0
462,20230805,NC,키움,창원,8244.0
463,20230806,KIA,한화,광주,10125.0
464,20230806,두산,KT,잠실,6744.0
465,20230806,삼성,LG,대구,11446.0
466,20230806,롯데,SSG,사직,8162.0
467,20230806,NC,키움,창원,6583.0
468,20230808,KT,한화,수원,9704.0
469,20230808,키움,롯데,고척,8376.0
470,20230808,SSG,NC,문학,8131.0
471,20230808,두산,삼성,잠실,8519.0
472,20230809,KT,한화,수원,10099.0
473,20230809,KIA,LG,광주,3700.0
474,20230809,키움,롯데,고척,7424.0
475,20230809,SSG,NC,문학,6473.0
476,20230809,두산,삼성,잠실,8344.0
477,20230810,키움,롯데,고척,6240.0
478,20230811,롯데,KIA,사직,10118.0
479,20230811,KT,NC,수원,5969.0
480,20230811,한화,두산,한밭,7333.0
481,20230811,SSG,삼성,문학,7495.0
482,20230811,LG,키움,잠실,11910.0
483,20230812,롯데,KIA,사직,16677.0
484,20230812,KT,NC,수원,10138.0
485,20230812,한화,두산,한밭,12000.0
486,20230812,SSG,삼성,문학,18055.0
487,20230812,LG,키움,잠실,17624.0
488,20230813,롯데,KIA,사직,14325.0
489,20230813,KT,NC,수원,9736.0
490,20230813,한화,두산,한밭,11007.0
491,20230813,SSG,삼성,문학,16473.0
492,20230813,LG,키움,잠실,18279.0
493,20230815,NC,한화,창원,10116.0
494,20230815,두산,KT,잠실,11069.0
495,20230815,삼성,LG,대구,14248.0
496,20230815,롯데,SSG,사직,11871.0
497,20230815,KIA,키움,광주,11541.0
498,20230816,NC,한화,창원,5033.0
499,20230816,두산,KT,잠실,5160.0
500,20230816,삼성,LG,대구,7441.0
501,20230816,롯데,SSG,사직,10542.0
502,20230816,KIA,키움,광주,7050.0
503,20230817,NC,한화,창원,4875.0
504,20230817,두산,KT,잠실,4943.0
505,20230817,삼성,LG,대구,7415.0
506,20230817,롯데,SSG,사직,9843.0
507,20230817,KIA,키움,광주,6159.0
508,20230818,삼성,KIA,대구,10630.0
509,20230818,한화,KT,한밭,7003.0
510,20230818,SSG,LG,문학,14549.0
511,20230818,키움,롯데,고척,8817.0
512,20230819,삼성,KIA,대구,17448.0
513,20230819,한화,KT,한밭,11606.0
514,20230819,SSG,LG,문학,23000.0
515,20230819,키움,롯데,고척,13423.0
516,20230819,두산,NC,잠실,12240.0
517,20230820,삼성,KIA,대구,12586.0
518,20230820,한화,KT,한밭,8762.0
519,20230820,SSG,LG,문학,18441.0
520,20230820,키움,롯데,고척,12545.0
521,20230820,두산,NC,잠실,8286.0
522,20230822,KT,KIA,수원,7916.0
523,20230822,키움,두산,고척,6455.0
524,20230822,한화,삼성,한밭,5806.0
525,20230823,키움,두산,고척,6455.0
526,20230824,KT,KIA,수원,9846.0
527,20230824,LG,롯데,잠실,15547.0
528,20230824,SSG,NC,문학,6683.0
529,20230824,키움,두산,고척,6819.0
530,20230825,KIA,한화,광주,8457.0
531,20230825,롯데,KT,사직,10709.0
532,20230825,NC,LG,창원,9288.0
533,20230825,두산,SSG,잠실,8363.0
534,20230825,삼성,키움,대구,11135.0
535,20230826,KIA,한화,광주,16812.0
536,20230826,롯데,KT,사직,15657.0
537,20230826,NC,LG,창원,13484.0
538,20230826,두산,SSG,잠실,15101.0
539,20230826,삼성,키움,대구,17586.0
540,20230827,KIA,한화,광주,12627.0
541,20230827,롯데,KT,사직,10735.0
542,20230827,NC,LG,창원,8771.0
543,20230827,두산,SSG,잠실,11300.0
544,20230827,삼성,키움,대구,13461.0
545,20230830,SSG,키움,문학,7809.0
546,20230831,한화,롯데,한밭,7179.0
547,20230831,KIA,NC,광주,7152.0
548,20230831,LG,두산,잠실,17859.0
549,20230831,KT,삼성,수원,8071.0
550,20230831,SSG,키움,문학,9780.0
551,20230901,LG,한화,잠실,20381.0
552,20230901,SSG,KIA,문학,17281.0
553,20230901,키움,KT,고척,3746.0
554,20230901,삼성,NC,대구,12843.0
555,20230902,LG,한화,잠실,23574.0
556,20230902,SSG,KIA,문학,23000.0
557,20230902,키움,KT,고척,6731.0
558,20230902,삼성,NC,대구,20468.0
559,20230903,LG,한화,잠실,22858.0
560,20230903,SSG,KIA,문학,23000.0
561,20230903,키움,KT,고척,5778.0
562,20230903,삼성,NC,대구,14601.0
563,20230903,롯데,두산,사직,11436.0
564,20230904,롯데,두산,사직,4621.0
565,20230905,KT,LG,수원,10153.0
566,20230905,한화,SSG,한밭,5124.0
567,20230905,롯데,삼성,울산,5999.0
568,20230905,NC,키움,창원,3511.0
569,20230906,두산,KIA,잠실,20468.0
570,20230906,KT,LG,수원,10075.0
571,20230906,한화,SSG,한밭,7213.0
572,20230906,롯데,삼성,울산,6380.0
573,20230906,NC,키움,창원,4269.0
574,20230907,두산,KIA,잠실,21838.0
575,20230907,KT,LG,수원,10799.0
576,20230907,한화,SSG,한밭,7236.0
577,20230907,롯데,삼성,울산,7156.0
578,20230907,NC,키움,창원,4780.0
579,20230908,키움,한화,고척,7715.0
580,20230908,KIA,LG,광주,12280.0
581,20230908,NC,롯데,창원,12684.0
582,20230908,KT,SSG,수원,7200.0
583,20230908,두산,삼성,잠실,15991.0
584,20230909,키움,한화,고척,9962.0
585,20230909,키움,한화,고척,10028.0
586,20230909,KIA,LG,광주,11820.0
587,20230909,KIA,LG,광주,18462.0
588,20230909,NC,롯데,창원,10933.0
589,20230909,NC,롯데,창원,17861.0
590,20230909,KT,SSG,수원,13739.0
591,20230909,두산,삼성,잠실,14279.0
592,20230909,두산,삼성,잠실,21514.0
593,20230910,키움,한화,고척,11313.0
594,20230910,KIA,LG,광주,13948.0
595,20230910,NC,롯데,창원,13984.0
596,20230910,KT,SSG,수원,11212.0
597,20230910,두산,삼성,잠실,17467.0
598,20230912,두산,한화,잠실,10169.0
599,20230912,삼성,KIA,대구,9037.0
600,20230912,SSG,KT,문학,10309.0
601,20230912,롯데,NC,사직,8202.0
602,20230913,NC,KT,창원,3919.0
603,20230913,KIA,롯데,광주,6323.0
604,20230914,삼성,KT,대구,6850.0
605,20230914,두산,SSG,잠실,7257.0
606,20230915,한화,LG,한밭,5724.0
607,20230915,KIA,두산,광주,7350.0
608,20230915,NC,삼성,창원,4129.0
609,20230915,롯데,키움,사직,6409.0
610,20230916,LG,SSG,잠실,18576.0
611,20230917,한화,KT,한밭,7406.0
612,20230917,한화,KT,한밭,6228.0
613,20230917,삼성,롯데,대구,18746.0
614,20230917,KIA,두산,광주,12878.0
615,20230917,LG,SSG,잠실,15193.0
616,20230917,LG,SSG,잠실,14237.0
617,20230918,한화,KT,한밭,3425.0
618,20230918,KIA,두산,광주,3482.0
619,20230919,KIA,LG,광주,8871.0
620,20230919,두산,NC,잠실,6726.0
621,20230919,한화,SSG,한밭,4014.0
622,20230919,KT,삼성,수원,7216.0
623,20230919,롯데,키움,사직,5523.0
624,20230921,한화,KIA,한밭,7747.0
625,20230921,SSG,LG,문학,12353.0
626,20230921,KT,롯데,수원,7691.0
627,20230921,키움,NC,고척,5178.0
628,20230921,삼성,두산,대구,7596.0
629,20230922,KIA,KT,광주,10221.0
630,20230922,SSG,롯데,문학,11561.0
631,20230922,LG,NC,잠실,16269.0
632,20230922,삼성,두산,대구,11568.0
633,20230922,한화,키움,한밭,7088.0
634,20230923,LG,한화,잠실,22765.0
635,20230923,KIA,KT,광주,13846.0
636,20230923,SSG,롯데,문학,19725.0
637,20230923,NC,두산,창원,11026.0
638,20230924,LG,한화,잠실,20369.0
639,20230924,KIA,KT,광주,10108.0
640,20230924,SSG,롯데,문학,16280.0
641,20230924,NC,두산,창원,8247.0
642,20230926,NC,KIA,창원,6945.0
643,20230927,NC,KIA,창원,3775.0
644,20230927,NC,KIA,창원,8190.0
645,20230927,LG,KT,잠실,5656.0
646,20230927,LG,KT,잠실,14733.0
