"MATCH_SEQ_NO","MATCH_DE","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO"
432,"20230729",키움,삼성,고척,11851.00000
433,"20230730",SSG,한화,문학,18158.00000
434,"20230730",NC,KT,창원,6181.00000
435,"20230730",두산,LG,잠실,19500.00000
436,"20230730",KIA,롯데,광주,11796.00000
437,"20230730",키움,삼성,고척,11235.00000
438,"20230801",삼성,KIA,포항,6912.00000
439,"20230801",롯데,NC,사직,13326.00000
440,"20230801",한화,두산,한밭,10225.00000
441,"20230801",KT,SSG,수원,7831.00000
442,"20230801",LG,키움,잠실,12159.00000
443,"20230802",삼성,KIA,포항,6477.00000
444,"20230802",롯데,NC,사직,11444.00000
445,"20230802",한화,두산,한밭,9011.00000
446,"20230802",KT,SSG,수원,7780.00000
447,"20230802",LG,키움,잠실,11740.00000
448,"20230803",삼성,KIA,포항,6357.00000
449,"20230803",롯데,NC,사직,10162.00000
450,"20230803",한화,두산,한밭,9024.00000
451,"20230803",KT,SSG,수원,7521.00000
452,"20230803",LG,키움,잠실,12179.00000
453,"20230804",KIA,한화,광주,11495.00000
454,"20230804",두산,KT,잠실,6358.00000
455,"20230804",삼성,LG,대구,10856.00000
456,"20230804",롯데,SSG,사직,8545.00000
457,"20230804",NC,키움,창원,5107.00000
458,"20230805",KIA,한화,광주,13487.00000
459,"20230805",두산,KT,잠실,8847.00000
460,"20230805",삼성,LG,대구,15879.00000
461,"20230805",롯데,SSG,사직,10670.00000
462,"20230805",NC,키움,창원,8244.00000
463,"20230806",KIA,한화,광주,10125.00000
464,"20230806",두산,KT,잠실,6744.00000
465,"20230806",삼성,LG,대구,11446.00000
466,"20230806",롯데,SSG,사직,8162.00000
467,"20230806",NC,키움,창원,6583.00000
468,"20230808",KT,한화,수원,9704.00000
469,"20230808",키움,롯데,고척,8376.00000
470,"20230808",SSG,NC,문학,8131.00000
471,"20230808",두산,삼성,잠실,8519.00000
472,"20230809",KT,한화,수원,10099.00000
473,"20230809",KIA,LG,광주,3700.00000
474,"20230809",키움,롯데,고척,7424.00000
475,"20230809",SSG,NC,문학,6473.00000
476,"20230809",두산,삼성,잠실,8344.00000
477,"20230810",키움,롯데,고척,6240.00000
478,"20230811",롯데,KIA,사직,10118.00000
479,"20230811",KT,NC,수원,5969.00000
480,"20230811",한화,두산,한밭,7333.00000
481,"20230811",SSG,삼성,문학,7495.00000
482,"20230811",LG,키움,잠실,11910.00000
483,"20230812",롯데,KIA,사직,16677.00000
484,"20230812",KT,NC,수원,10138.00000
485,"20230812",한화,두산,한밭,12000.00000
486,"20230812",SSG,삼성,문학,18055.00000
487,"20230812",LG,키움,잠실,17624.00000
488,"20230813",롯데,KIA,사직,14325.00000
489,"20230813",KT,NC,수원,9736.00000
490,"20230813",한화,두산,한밭,11007.00000
491,"20230813",SSG,삼성,문학,16473.00000
492,"20230813",LG,키움,잠실,18279.00000
493,"20230815",NC,한화,창원,10116.00000
494,"20230815",두산,KT,잠실,11069.00000
495,"20230815",삼성,LG,대구,14248.00000
496,"20230815",롯데,SSG,사직,11871.00000
497,"20230815",KIA,키움,광주,11541.00000
498,"20230816",NC,한화,창원,5033.00000
499,"20230816",두산,KT,잠실,5160.00000
500,"20230816",삼성,LG,대구,7441.00000
501,"20230816",롯데,SSG,사직,10542.00000
502,"20230816",KIA,키움,광주,7050.00000
503,"20230817",NC,한화,창원,4875.00000
504,"20230817",두산,KT,잠실,4943.00000
505,"20230817",삼성,LG,대구,7415.00000
506,"20230817",롯데,SSG,사직,9843.00000
507,"20230817",KIA,키움,광주,6159.00000
508,"20230818",삼성,KIA,대구,10630.00000
509,"20230818",한화,KT,한밭,7003.00000
510,"20230818",SSG,LG,문학,14549.00000
511,"20230818",키움,롯데,고척,8817.00000
512,"20230819",삼성,KIA,대구,17448.00000
513,"20230819",한화,KT,한밭,11606.00000
514,"20230819",SSG,LG,문학,23000.00000
515,"20230819",키움,롯데,고척,13423.00000
516,"20230819",두산,NC,잠실,12240.00000
517,"20230820",삼성,KIA,대구,12586.00000
518,"20230820",한화,KT,한밭,8762.00000
519,"20230820",SSG,LG,문학,18441.00000
520,"20230820",키움,롯데,고척,12545.00000
521,"20230820",두산,NC,잠실,8286.00000
522,"20230822",KT,KIA,수원,7916.00000
523,"20230822",키움,두산,고척,6455.00000
524,"20230822",한화,삼성,한밭,5806.00000
525,"20230823",키움,두산,고척,6455.00000
526,"20230824",KT,KIA,수원,9846.00000
527,"20230824",LG,롯데,잠실,15547.00000
528,"20230824",SSG,NC,문학,6683.00000
529,"20230824",키움,두산,고척,6819.00000
