"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
194,"20250415","2025","04","15",KBO,정규리그,LG,삼성,잠실,23750.00000,"20250715","20250715"
195,"20230304","2023","03","04",KLEAGUE,K리그1,인천,대전,인천 전용,10011.00000,"20250715","20250715"
196,"20250415","2025","04","15",KBO,정규리그,롯데,키움,사직,9714.00000,"20250715","20250715"
197,"20250416","2025","04","16",KBO,정규리그,SSG,한화,문학,16785.00000,"20250715","20250715"
198,"20230901","2023","09","01",KLEAGUE,K리그1,대전,수원FC,대전 월드컵,9955.00000,"20250715","20250715"
199,"20250416","2025","04","16",KBO,정규리그,KIA,KT,광주,12423.00000,"20250715","20250715"
200,"20230715","2023","07","15",KLEAGUE,K리그1,수원,울산,수원 월드컵,9946.00000,"20250715","20250715"
201,"20250416","2025","04","16",KBO,정규리그,LG,삼성,잠실,23750.00000,"20250715","20250715"
202,"20230901","2023","09","01",KLEAGUE,K리그1,대구,강원,대구iM뱅크PARK,9806.00000,"20250715","20250715"
203,"20250416","2025","04","16",KBO,정규리그,롯데,키움,사직,11679.00000,"20250715","20250715"
204,"20250417","2025","04","17",KBO,정규리그,SSG,한화,문학,18098.00000,"20250715","20250715"
205,"20231125","2023","11","25",KLEAGUE,K리그1,포항,대구,포항 스틸야드,9541.00000,"20250715","20250715"
206,"20250417","2025","04","17",KBO,정규리그,KIA,KT,광주,12104.00000,"20250715","20250715"
207,"20231022","2023","10","22",KLEAGUE,K리그1,대전,수원FC,대전 월드컵,9474.00000,"20250715","20250715"
208,"20250417","2025","04","17",KBO,정규리그,LG,삼성,잠실,23750.00000,"20250715","20250715"
209,"20230625","2023","06","25",KLEAGUE,K리그1,인천,포항,인천 전용,9367.00000,"20250715","20250715"
210,"20250417","2025","04","17",KBO,정규리그,롯데,키움,사직,11812.00000,"20250715","20250715"
211,"20230813","2023","08","13",KLEAGUE,K리그1,인천,대구,인천 전용,9349.00000,"20250715","20250715"
212,"20250418","2025","04","18",KBO,정규리그,두산,KIA,잠실,23750.00000,"20250715","20250715"
213,"20231001","2023","10","01",KLEAGUE,K리그1,강원,대전,강릉하이원아레나,9326.00000,"20250715","20250715"
214,"20250418","2025","04","18",KBO,정규리그,키움,KT,고척,4666.00000,"20250715","20250715"
215,"20230415","2023","04","15",KLEAGUE,K리그1,수원FC,전북,수원 종합,9221.00000,"20250715","20250715"
216,"20250418","2025","04","18",KBO,정규리그,SSG,LG,문학,18091.00000,"20250715","20250715"
217,"20250418","2025","04","18",KBO,정규리그,삼성,롯데,대구,24000.00000,"20250715","20250715"
218,"20230430","2023","04","30",KLEAGUE,K리그1,포항,인천,포항 스틸야드,9173.00000,"20250715","20250715"
219,"20250418","2025","04","18",KBO,정규리그,한화,NC,대전(신),17000.00000,"20250715","20250715"
220,"20230415","2023","04","15",KLEAGUE,K리그1,포항,서울,포항 스틸야드,9131.00000,"20250715","20250715"
221,"20250419","2025","04","19",KBO,정규리그,두산,KIA,잠실,23750.00000,"20250715","20250715"
222,"20230826","2023","08","26",KLEAGUE,K리그1,강원,포항,강릉하이원아레나,9063.00000,"20250715","20250715"
223,"20250419","2025","04","19",KBO,정규리그,키움,KT,고척,8281.00000,"20250715","20250715"
224,"20250419","2025","04","19",KBO,정규리그,SSG,LG,문학,18727.00000,"20250715","20250715"
225,"20230721","2023","07","21",KLEAGUE,K리그1,포항,전북,포항 스틸야드,9055.00000,"20250715","20250715"
226,"20250419","2025","04","19",KBO,정규리그,삼성,롯데,대구,24000.00000,"20250715","20250715"
227,"20230716","2023","07","16",KLEAGUE,K리그1,인천,대전,인천 전용,8925.00000,"20250715","20250715"
228,"20250419","2025","04","19",KBO,정규리그,한화,NC,대전(신),17000.00000,"20250715","20250715"
229,"20250420","2025","04","20",KBO,정규리그,두산,KIA,잠실,23750.00000,"20250715","20250715"
230,"20231112","2023","11","12",KLEAGUE,K리그1,수원FC,수원,수원 종합,8886.00000,"20250715","20250715"
231,"20250420","2025","04","20",KBO,정규리그,키움,KT,고척,6859.00000,"20250715","20250715"
232,"20230430","2023","04","30",KLEAGUE,K리그1,수원,대구,수원 월드컵,8883.00000,"20250715","20250715"
233,"20250420","2025","04","20",KBO,정규리그,SSG,LG,문학,23000.00000,"20250715","20250715"
234,"20230606","2023","06","06",KLEAGUE,K리그1,수원FC,울산,수원 종합,8733.00000,"20250715","20250715"
235,"20250420","2025","04","20",KBO,정규리그,삼성,롯데,대구,24000.00000,"20250715","20250715"
236,"20250420","2025","04","20",KBO,정규리그,한화,NC,대전(신),17000.00000,"20250715","20250715"
237,"20230409","2023","04","09",KLEAGUE,K리그1,전북,인천,전주 월드컵,8697.00000,"20250715","20250715"
238,"20250422","2025","04","22",KBO,정규리그,LG,NC,잠실,12941.00000,"20250715","20250715"
239,"20230311","2023","03","11",KLEAGUE,K리그1,수원FC,수원,수원 종합,8670.00000,"20250715","20250715"
240,"20250422","2025","04","22",KBO,정규리그,키움,두산,고척,6809.00000,"20250715","20250715"
241,"20230311","2023","03","11",KLEAGUE,K리그1,대전,포항,대전 월드컵,8661.00000,"20250715","20250715"
242,"20250422","2025","04","22",KBO,정규리그,KT,SSG,수원,5497.00000,"20250715","20250715"
243,"20250423","2025","04","23",KBO,정규리그,롯데,한화,사직,19376.00000,"20250715","20250715"
244,"20230505","2023","05","05",KLEAGUE,K리그1,인천,수원,인천 전용,8637.00000,"20250715","20250715"
245,"20250423","2025","04","23",KBO,정규리그,삼성,KIA,대구,22257.00000,"20250715","20250715"
246,"20230916","2023","09","16",KLEAGUE,K리그1,인천,제주,인천 전용,8433.00000,"20250715","20250715"
247,"20250423","2025","04","23",KBO,정규리그,LG,NC,잠실,17828.00000,"20250715","20250715"
248,"20230610","2023","06","10",KLEAGUE,K리그1,대전,광주,대전 월드컵,8390.00000,"20250715","20250715"
249,"20250423","2025","04","23",KBO,정규리그,키움,두산,고척,6801.00000,"20250715","20250715"
