MATCH_SEQ_NO,LEA_NM,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
523,K리그1,20240428,전북,대구,전주 월드컵,13642.0
524,K리그1,20240525,포항,서울,포항 스틸야드,13467.0
525,K리그2,20241109,안양,경남,안양 종합,13451.0
526,K리그1,20241101,울산,강원,울산 종합,13438.0
527,K리그1,20241027,대전,대구,대전 월드컵,13405.0
528,K리그1,20240626,서울,강원,서울 월드컵,13303.0
529,K리그1,20240728,포항,김천,포항 스틸야드,13234.0
530,K리그1,20241027,포항,울산,포항 스틸야드,13212.0
531,플레이오프,20241201,서울E,전북,목동 종합,13205.0
532,K리그1,20240818,울산,수원FC,울산 문수,13204.0
533,K리그1,20240818,강원,광주,강릉하이원아레나,13170.0
534,K리그1,20240630,포항,울산,포항 스틸야드,13079.0
535,K리그1,20240403,서울,김천,서울 월드컵,13040.0
536,K리그1,20240512,전북,수원FC,전주 월드컵,13009.0
537,K리그1,20240504,포항,전북,포항 스틸야드,13002.0
538,K리그1,20241124,대전,제주,대전 월드컵,12743.0
539,K리그1,20241020,강원,서울,강릉하이원아레나,12742.0
540,K리그1,20240427,대전,서울,대전 월드컵,12700.0
541,K리그1,20240928,강원,대구,강릉하이원아레나,12677.0
542,K리그1,20240629,전북,서울,전주 월드컵,12508.0
543,K리그1,20240706,제주,서울,제주 월드컵,12409.0
544,K리그2,20240421,안양,수원,안양 종합,12323.0
545,K리그1,20240901,강원,수원FC,강릉하이원아레나,12292.0
546,K리그1,20240726,강원,전북,강릉하이원아레나,12272.0
547,K리그1,20240303,대구,김천,대구iM뱅크PARK,12133.0
548,K리그1,20240407,대구,서울,대구iM뱅크PARK,12088.0
549,K리그1,20241006,대구,전북,대구iM뱅크PARK,12072.0
550,K리그1,20240316,대구,수원FC,대구iM뱅크PARK,11997.0
551,K리그1,20240831,대구,인천,대구iM뱅크PARK,11994.0
552,K리그1,20240526,대구,강원,대구iM뱅크PARK,11977.0
553,플레이오프,20241201,대구,충남아산,대구iM뱅크PARK,11973.0
554,K리그1,20240511,대구,광주,대구iM뱅크PARK,11967.0
